ZCTA,Median_Income
10001,123393.0
10002,46525.0
10003,153750.0
10004,220592.0
10005,211810.0
10006,209972.0
10009,87963.0
10010,156127.0
10011,146571.0
10012,130938.0
10013,159474.0
10014,167254.0
10016,153065.0
10017,132518.0
10018,133042.0
10019,121835.0
10021,156712.0
10022,171038.0
10023,157866.0
10024,182614.0
10025,109195.0
10026,74140.0
10027,64220.0
10028,168125.0
10029,38308.0
10030,42738.0
10031,65067.0
10032,56588.0
10033,75585.0
10034,69786.0
10035,40556.0
10036,100225.0
10037,51250.0
10038,115121.0
10039,48792.0
10040,64022.0
10044,106146.0
10065,160938.0
10075,146556.0
10128,148705.0
10301,84937.0
10304,71506.0
10305,86294.0
10306,97746.0
10307,138807.0
10308,122654.0
10309,123638.0
10312,111434.0
10451,37111.0
10452,37854.0
10453,35482.0
10454,27500.0
10455,36701.0
10456,35676.0
10457,44911.0
10458,42107.0
10459,39276.0
10460,36067.0
10461,65023.0
10462,63460.0
10463,72952.0
10464,100306.0
10465,90255.0
10466,66328.0
10467,47806.0
10468,46624.0
10469,76018.0
10470,81134.0
10471,108738.0
10472,43125.0
10473,50609.0
10475,62383.0
10507,106213.0
10509,120987.0
10510,215568.0
10516,135922.0
10520,140018.0
10522,167927.0
10524,125568.0
10528,151193.0
10530,118114.0
10532,134662.0
10533,171250.0
10536,239063.0
10538,186555.0
10543,128418.0
10549,122327.0
10550,56903.0
10562,113069.0
10566,91042.0
10570,188262.0
10573,110612.0
10580,242015.0
10591,103480.0
10595,108750.0
10601,90733.0
10603,121450.0
10604,111131.0
10605,145587.0
10701,63310.0
10705,68616.0
10706,177031.0
10707,141837.0
10708,121107.0
10801,83534.0
10803,212288.0
10901,114651.0
10913,175000.0
10916,115227.0
10920,143672.0
10925,89313.0
10926,98135.0
10941,95938.0
10954,112927.0
10956,179060.0
10960,126404.0
10962,171389.0
10963,79265.0
10965,136970.0
10968,132105.0
10970,118445.0
10974,112404.0
10976,95956.0
10977,77724.0
10980,125333.0
10983,178664.0
10987,164063.0
10989,131501.0
10990,123199.0
10993,65250.0
10994,166838.0
11001,144755.0
11003,123000.0
11004,109865.0
11005,91719.0
11021,122390.0
11030,247393.0
11040,153511.0
11050,153819.0
11096,88160.0
11101,116807.0
11102,102996.0
11103,92787.0
11104,84716.0
11105,100306.0
11106,85573.0
11201,169285.0
11204,67588.0
11205,86753.0
11206,57280.0
11207,55419.0
11208,59988.0
11209,92656.0
11210,83261.0
11211,105183.0
11212,40060.0
11213,62040.0
11214,64286.0
11215,180773.0
11216,95000.0
11217,158314.0
11218,95916.0
11219,55685.0
11220,64201.0
11221,85122.0
11222,123963.0
11223,63950.0
11224,41449.0
11225,85201.0
11226,81084.0
11228,80737.0
11229,72556.0
11230,69522.0
11231,138485.0
11232,87517.0
11233,62034.0
11234,94434.0
11235,61689.0
11236,82813.0
11237,82570.0
11238,132957.0
11239,35675.0
11354,62833.0
11355,53700.0
11356,91445.0
11357,97754.0
11358,88729.0
11360,100250.0
11361,108391.0
11362,118989.0
11363,110833.0
11364,101222.0
11365,85375.0
11366,117402.0
11367,75804.0
11368,71798.0
11369,80577.0
11370,74895.0
11372,77133.0
11373,71470.0
11374,86333.0
11375,104319.0
11377,73292.0
11378,84762.0
11379,92509.0
11385,87365.0
11412,98418.0
11413,114766.0
11414,98209.0
11415,88632.0
11416,85544.0
11417,86330.0
11418,84927.0
11419,91231.0
11420,98584.0
11421,89439.0
11422,108519.0
11423,80870.0
11426,107591.0
11427,92129.0
11428,84977.0
11429,98232.0
11432,75395.0
11433,71177.0
11434,76668.0
11435,79430.0
11436,86104.0
11501,138323.0
11507,162991.0
11510,141120.0
11516,102083.0
11518,104955.0
11520,119407.0
11530,202841.0
11542,92284.0
11545,164583.0
11548,107386.0
11550,86904.0
11552,153192.0
11557,170048.0
11558,109443.0
11559,156429.0
11560,159545.0
11561,132903.0
11563,138006.0
11565,145290.0
11566,169868.0
11570,147784.0
11572,144419.0
11577,183233.0
11581,138821.0
11590,149250.0
11596,162026.0
11598,181574.0
11691,57027.0
11692,49507.0
11693,67829.0
11694,103792.0
11697,134844.0
