ZCTA5CE10,mean,min,max,count
11004.0,10.333333333333334,9,11,3
11101.0,11.666666666666666,2,21,18
11102.0,4.5,3,12,6
11103.0,4.5,3,6,2
11104.0,3.8,3,4,5
11105.0,1.5,1,3,4
11106.0,3.6363636363636362,2,6,11
11109.0,4.0,4,4,1
11354.0,18.2,6,31,10
11355.0,11.333333333333334,2,29,9
11356.0,4.666666666666667,1,8,3
11357.0,4.666666666666667,2,6,6
11358.0,3.0,2,5,4
11360.0,11.0,11,11,2
11361.0,4.0,2,6,8
11362.0,1.6666666666666667,1,2,3
11363.0,1.0,0,2,2
11364.0,4.375,0,8,8
11365.0,10.75,4,16,8
11366.0,1.75,1,4,4
11367.0,7.111111111111111,3,11,9
11368.0,5.133333333333334,1,10,15
11369.0,9.0,3,14,6
11370.0,7.5,5,10,2
11372.0,8.0,2,15,9
11373.0,14.1875,2,32,16
11374.0,9.833333333333334,1,16,6
11375.0,7.5,3,10,10
11377.0,4.909090909090909,2,14,11
11378.0,5.4,4,9,5
11379.0,3.5,3,5,4
11385.0,9.5,5,14,16
11411.0,6.333333333333333,3,7,6
11412.0,3.888888888888889,2,6,9
11413.0,3.6,0,6,15
11414.0,6.2,5,9,5
11415.0,16.0,16,16,1
11416.0,6.75,0,11,4
11417.0,9.714285714285714,9,12,7
11418.0,6.777777777777778,5,8,9
11419.0,3.25,0,6,4
11420.0,7.1,2,10,10
11421.0,5.666666666666667,5,6,3
11422.0,3.6,3,5,5
11423.0,8.0,6,10,4
11426.0,1.8333333333333333,1,2,6
11427.0,5.0,2,6,4
11428.0,3.6666666666666665,2,6,3
11429.0,6.0,6,6,1
11432.0,26.444444444444443,1,47,18
11433.0,16.333333333333332,6,47,9
11434.0,6.133333333333334,2,9,15
11435.0,28.666666666666668,8,40,9
11436.0,3.4,1,7,5
11691.0,4.375,0,10,16
11692.0,2.0,1,3,2
11693.0,3.0,1,5,2
11694.0,3.7777777777777777,0,8,9
